registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type
2017,1248,5,1,68756,1,1,88,5,21.63,21
2019,1197,5,1,33000,1,4,81,5,21.01,7
2018,1199,5,1,80000,1,4,84,5,21.63,7
2016,1248,5,1,80000,1,1,88,5,21.63,21
2018,1197,5,1,80000,3,4,83,5,21.4,7
2015,1197,5,1,33000,1,4,78,5,21.63,7
2014,1197,5,1,70351,3,4,85,5,19.1,19
2015,1197,5,1,35267,1,4,78,5,21.1,7
2019,1497,5,1,78686,1,1,115,5,20.0,21
2015,1498,5,1,80000,1,1,98,5,21.63,19
2014,1498,5,0,80000,2,1,118,5,17.0,19
2014,1197,5,1,80000,3,4,78,5,17.92,7
2014,1197,5,1,33000,2,4,78,5,19.7,14
2014,1197,5,1,33000,4,3,78,5,17.0,14
2014,1498,5,1,80000,1,1,103,5,20.5,19
2014,1197,5,1,80000,1,4,78,5,19.81,7
2014,1461,5,1,80000,2,1,108,5,19.01,21
2018,1248,5,1,80000,1,1,88,5,21.63,21
2014,1197,5,1,80000,1,4,78,5,20.36,7
2014,1197,4,1,80000,1,4,85,5,21.1,7
2019,1197,3,1,33000,1,4,113,5,20.08,21
2019,1197,5,1,33000,1,4,83,5,21.4,7
2014,1197,5,1,80000,1,4,78,5,21.63,7
2019,1197,5,1,33000,1,4,81,5,21.01,7
2015,1461,5,1,57482,1,1,83,5,20.45,21
2014,1248,5,1,80000,1,1,78,5,19.3,19
2017,1197,5,1,80000,1,4,82,5,18.9,7
2018,1197,5,1,33000,1,4,81,5,18.6,7
2014,1199,5,1,74180,5,1,78,5,21.63,7
2019,1197,5,1,61749,1,4,86,5,18.16,7
2019,1498,5,1,33000,1,1,118,5,17.0,16
2014,1498,5,0,80000,1,1,118,5,17.0,21
2019,1197,5,1,48702,2,4,78,5,21.63,7
2014,1248,5,1,80000,1,1,78,5,21.63,7
2019,1497,5,1,53840,1,4,113,5,17.7,19
2019,1498,5,1,33000,1,1,118,5,17.0,16
2014,1498,5,1,80000,1,1,108,5,20.0,19
2019,1498,5,1,33000,1,1,118,5,17.1,21
2014,1298,5,1,80000,1,4,85,5,17.5,19
2018,1248,5,1,41803,1,1,88,5,21.63,21
2019,1497,5,1,64536,1,4,118,5,17.0,21
2014,1197,5,1,33000,1,4,78,5,19.7,7
2018,1498,5,1,66559,1,1,98,5,21.63,21
2014,1461,5,1,80000,1,1,83,5,20.45,21
2014,1197,5,1,80000,4,4,80,5,18.5,7
2016,1197,5,1,60516,1,4,83,5,20.85,19
2014,1197,5,1,80000,3,4,85,5,19.1,19
2018,1248,5,1,50151,1,1,78,5,21.63,19
2015,1498,5,1,80000,1,1,98,5,21.63,21
2015,1199,5,1,33000,1,4,78,5,18.6,7
2014,1197,5,1,80000,2,4,118,5,18.88,21
2019,1197,5,1,75781,1,4,81,5,20.5,19
2014,1197,5,1,63059,1,4,82,5,19.1,19
2019,1497,5,1,80000,1,4,117,5,17.4,19
2019,1199,5,1,33000,1,4,88,5,18.6,19
2014,1396,5,1,80000,2,1,88,5,21.63,19
2014,1497,5,1,80000,1,4,118,5,17.0,19
2014,1498,3,1,80000,3,1,98,5,21.63,19
2014,1199,5,1,80000,4,1,78,5,21.63,7
2019,1498,5,1,33000,1,4,118,5,17.0,21
2014,1461,5,1,80000,1,1,78,5,21.63,7
2014,1396,5,1,80000,1,1,90,5,21.63,7
2014,1197,5,1,77186,4,4,78,5,18.9,7
2014,1396,5,1,80000,2,1,88,5,21.27,7
2014,1461,5,1,80000,2,1,83,5,20.45,21
2014,1498,5,1,80000,3,1,118,5,17.0,21
2019,1451,5,0,33127,1,4,118,5,17.0,21
2014,1396,5,1,72836,1,1,88,5,21.63,7
2015,1498,4,0,42531,3,1,118,5,20.38,19
2014,1197,5,1,80000,1,4,78,5,18.9,7
2018,1197,5,1,44014,1,4,78,5,21.63,7
2014,1248,5,1,80000,1,1,78,5,20.3,7
2017,1197,5,0,80000,1,4,78,5,21.63,7
2018,1498,5,1,69236,1,1,97,5,21.63,19
2015,1373,5,1,73721,1,4,91,5,20.73,19
2016,1396,5,1,69752,2,1,88,5,21.63,7
2014,1396,5,1,80000,1,1,90,5,21.63,7
2019,1199,5,1,33000,1,4,118,5,17.33,21
2014,1497,5,1,72474,2,4,118,5,17.0,19
2014,1197,5,1,58339,1,4,78,5,20.36,7
2015,1197,5,1,78377,1,4,83,5,20.85,19
2014,1498,5,1,80000,2,1,118,5,17.0,21
2017,1373,5,1,33000,2,4,91,5,20.73,19
2014,1248,5,1,80000,2,1,78,5,21.1,7
2019,1197,0,1,33000,1,0,78,5,21.63,7
2019,1197,5,1,45301,2,4,78,5,21.63,7
2014,1248,5,1,80000,1,1,78,5,19.3,19
2014,1199,5,1,80000,4,4,79,5,18.6,7
2014,1373,5,1,72692,1,4,93,5,17.0,16
2015,1498,5,1,80000,1,1,118,5,17.0,21
2019,1199,0,1,33000,1,4,86,5,20.09,21
2014,1497,4,1,80000,1,4,116,5,17.0,19
2014,1498,5,1,72451,1,1,98,5,21.63,19
2015,1197,4,1,43474,1,4,85,5,18.5,7
2017,1197,3,1,57800,1,4,83,5,21.4,7
2016,1197,4,1,79800,1,4,81,5,21.01,7
2016,1197,4,1,65000,2,4,78,5,21.63,7
2019,1462,4,1,33000,1,4,103,5,17.03,21
2016,1197,4,1,59800,1,4,78,5,20.51,7
2016,1498,4,1,43919,1,1,98,5,21.63,21
2019,1199,4,1,33000,1,4,88,5,17.5,21
2017,1498,4,1,47930,1,1,118,5,17.6,21
2019,1197,4,1,41599,1,4,83,5,21.4,7
2019,1197,4,0,33000,1,4,118,5,18.15,21
2018,1498,4,1,58665,1,1,118,5,17.0,21
2014,1498,4,1,80000,2,1,100,5,17.0,16
2019,1197,4,0,70123,1,4,78,5,21.63,7
2019,1493,4,1,80000,1,1,98,5,21.63,21
2014,1498,4,1,80000,2,1,118,5,17.0,21
2015,1498,4,1,41000,1,1,118,5,17.0,21
2014,1498,4,1,51800,1,1,98,5,21.63,19
2015,1462,4,1,33000,1,4,103,5,17.0,21
2016,1497,4,1,77000,2,4,117,5,17.4,19
2019,1498,4,0,41521,1,4,118,5,17.0,19
2019,1497,3,1,33000,1,4,113,5,17.0,21
2017,1498,4,1,80000,1,1,118,5,17.1,21
2019,1462,3,1,39109,1,4,103,5,17.03,21
2014,1461,3,1,75123,1,1,83,5,19.87,21
2019,1493,4,0,44354,1,1,113,5,18.0,21
2019,1197,4,1,33000,1,4,88,5,21.63,7
2016,1498,4,0,42840,1,1,118,5,20.38,19
2016,1248,4,1,68000,1,1,88,5,21.63,19
2019,1498,4,0,54000,1,1,113,5,18.1,21
2014,1498,4,1,80000,1,1,118,5,21.63,19
2016,1197,3,1,43000,1,4,81,5,21.21,7
2016,1498,4,0,80000,1,1,118,5,17.0,21
2019,1498,4,0,33000,1,4,118,5,17.0,19
2014,1498,4,1,76000,1,1,98,5,21.63,19
2019,1197,4,1,42200,1,4,81,5,18.6,7
2019,1197,4,0,33000,1,4,88,5,21.63,7
2017,1498,4,0,80000,1,1,118,5,17.05,21
2019,1197,4,1,33000,1,4,108,5,17.69,19
2015,1498,4,0,70705,1,1,118,5,17.0,19
2014,1197,4,1,72580,1,4,78,5,21.63,7
2019,1498,4,0,35258,1,1,118,5,17.0,16
2017,1396,4,1,80000,1,1,88,5,21.63,7
2014,1498,4,1,80000,2,1,118,5,21.63,19
2019,1498,4,1,40200,1,1,118,5,17.0,21
2018,1197,4,1,57000,1,4,81,5,21.63,7
2017,1197,4,1,57000,2,4,81,5,18.6,7
2019,1199,4,0,38323,1,4,118,5,17.0,21
2019,1353,4,0,47776,1,4,118,5,17.0,21
2015,1396,4,1,76000,1,1,88,5,21.63,7
2017,1197,4,1,33000,1,4,82,5,18.9,7
2019,1197,4,1,33000,1,4,78,5,21.46,7
2019,1199,3,1,58740,1,4,88,5,19.5,19
2019,1498,3,0,33000,1,1,118,5,17.0,21
2014,1248,4,1,56805,1,1,78,5,21.63,19
2016,1498,4,0,80000,2,1,118,5,17.0,21
2019,1498,4,0,80000,1,1,118,5,17.0,21
2019,1498,4,0,33000,1,1,118,5,18.12,19
2018,1368,4,0,43323,1,4,118,5,17.0,21
2019,1498,4,0,79828,1,1,118,5,21.63,19
2018,1197,3,1,76000,1,4,83,5,21.4,7
2014,1498,4,1,80000,1,1,118,5,17.0,21
2017,1498,3,1,80000,1,1,108,5,21.13,19
2017,1248,4,1,80000,1,1,88,5,21.63,19
2018,1498,3,1,80000,2,1,118,5,17.0,21
2016,1197,3,1,80000,1,4,82,5,18.9,7
2019,1498,4,1,70000,2,1,118,5,17.0,21
2016,1199,3,1,59000,2,4,78,5,17.0,7
2018,1396,4,1,69000,1,1,88,5,21.63,7
2019,1199,4,1,59000,1,4,88,5,17.5,21
2014,1497,4,1,70000,1,4,118,5,17.0,19
2014,1248,4,1,76000,1,1,78,5,21.63,7
2015,1498,4,0,80000,1,1,118,5,17.0,19
2019,1199,4,1,33000,1,4,88,5,18.6,19
2014,1197,4,1,76600,2,4,78,5,20.36,7
2019,1498,4,0,33000,1,4,118,5,17.0,21
2018,1498,4,0,80000,2,1,118,5,17.0,21
2019,1353,4,1,33000,1,4,118,5,17.0,21
2019,1498,4,0,80000,2,1,118,5,17.6,21
2019,1197,4,1,33000,1,4,113,5,19.2,21
2018,1197,4,0,64500,1,4,78,5,21.63,7
2019,1498,4,1,71000,1,1,98,5,21.63,21
2014,1498,4,1,53000,1,1,103,5,20.54,19
2017,1498,4,1,75000,2,1,88,5,20.14,7
2016,1498,4,1,80000,2,1,118,5,17.0,21
2019,1197,4,1,33000,1,4,78,5,21.63,7
2018,1498,4,1,76200,1,1,98,5,21.63,21
2014,1197,4,0,80000,1,4,78,5,17.8,7
2014,1498,4,1,80000,2,1,103,5,20.5,19
2014,1197,4,1,62000,1,4,78,5,21.63,7
2014,1498,3,1,80000,1,1,118,5,17.0,21
2018,1248,4,1,49074,1,1,78,5,21.63,7
2014,1498,4,1,76000,2,1,118,5,21.63,19
2019,1462,4,1,60000,1,4,103,5,17.03,21
2019,1493,4,1,49017,1,1,113,5,20.8,21
2017,1198,4,1,80000,1,4,78,5,17.0,7
2018,1498,4,1,80000,1,1,118,5,21.63,19
2014,1198,4,1,49580,1,4,90,5,17.0,7
2014,1248,4,1,75000,1,1,78,5,19.3,19
2014,1498,3,0,60091,1,1,118,5,17.0,21
2014,1197,4,1,73000,2,4,82,5,18.5,7
2018,1197,4,1,70000,2,4,81,5,21.21,7
2014,1248,4,1,80000,1,1,78,5,21.63,7
2016,1197,4,1,80000,1,4,78,5,18.78,7
2018,1248,4,1,73000,1,1,88,5,21.63,21
2014,1197,4,1,74000,2,4,81,5,18.6,7
2018,1493,4,1,66000,1,1,78,5,17.0,21
2015,1498,4,0,48350,1,4,118,5,17.0,21
2019,1493,4,1,62000,1,1,98,5,18.4,21
2014,1498,4,0,34100,2,1,118,5,17.0,21
2014,1498,4,1,80000,2,1,88,5,20.14,7
2015,1498,4,1,65000,2,1,98,5,21.63,21
2017,1396,4,1,80000,2,1,88,5,21.63,7
2014,1248,4,1,80000,3,1,78,5,17.8,7
2016,1498,4,1,75235,2,1,118,5,17.0,21
2014,1498,4,0,79412,2,1,118,5,19.59,19
2019,1197,4,1,33000,1,4,88,5,21.63,19
2019,1498,3,1,33000,2,4,118,5,17.0,21
2015,1498,3,1,80000,2,1,102,5,17.0,16
2018,1197,4,1,38000,1,4,83,5,21.4,7
2016,1461,4,1,80000,1,1,83,5,21.04,16
2019,1498,3,0,33000,1,4,108,5,17.0,21
2017,1248,4,0,70000,1,1,78,5,21.63,7
2015,1396,4,1,80000,1,1,88,5,21.19,7
2016,1197,4,1,57000,2,4,78,5,20.36,7
2014,1498,4,1,80000,1,1,100,5,17.0,16
2014,1498,4,1,80000,1,1,118,5,17.0,21
2017,1197,4,0,33000,2,4,83,5,21.4,7
2019,1462,4,0,58000,1,4,103,5,20.04,19
2016,1373,4,1,68000,1,4,91,5,20.73,19
2014,1497,4,1,80000,2,4,116,5,17.0,19
2014,1248,4,1,80000,1,1,78,5,21.63,19
2017,1197,4,1,68000,1,4,78,5,21.63,7
2018,1248,4,1,68000,3,1,88,5,21.63,21
2016,1197,4,0,76000,1,4,78,5,21.63,7
2014,1498,4,1,80000,3,1,118,5,17.0,21
2018,1197,4,1,68000,1,0,78,5,21.63,7
2014,1399,4,1,80000,1,1,78,5,20.0,7
2014,1248,4,1,80000,2,1,78,5,21.63,19
2017,1199,4,1,58000,1,4,88,5,17.5,21
2014,1198,4,1,68000,2,4,78,5,17.0,7
2017,1197,4,1,68000,1,4,78,5,21.63,7
2018,1199,4,1,42000,2,4,84,5,20.3,19
2015,1498,4,1,80000,1,1,100,5,17.0,16
2014,1197,4,1,78000,1,1,78,5,21.63,7
2018,1396,4,1,73000,1,1,88,5,21.63,21
2017,1197,4,0,33000,1,4,78,5,21.63,7
2019,1498,3,1,56569,1,1,98,5,21.63,21
2015,1248,3,1,44180,1,1,78,5,21.63,7
2017,1498,4,1,80000,1,1,118,5,17.0,21
2019,1197,3,1,37724,1,4,78,5,19.17,21
2019,1462,4,1,80000,1,4,103,5,19.34,16
2019,1248,4,1,67123,1,1,88,5,21.63,21
2017,1373,4,1,70123,1,4,91,5,20.73,19
2015,1498,4,0,80000,1,1,118,5,17.0,21
2014,1197,4,1,70123,1,4,78,5,19.81,7
2014,1198,4,1,70123,2,4,86,5,19.4,7
2018,1498,4,1,80000,1,1,98,5,21.63,21
2017,1197,4,1,68123,1,4,81,5,21.21,19
2017,1498,4,0,80000,1,1,118,5,17.0,21
2014,1498,4,1,80000,1,1,89,5,21.63,21
2017,1498,4,1,48000,1,4,118,5,17.0,21
2014,1498,4,0,57847,1,4,118,5,17.0,19
2014,1498,4,0,57056,2,4,118,5,17.0,19
2018,1248,3,1,34970,1,1,88,5,21.63,21
2015,1498,4,1,78000,1,1,88,5,20.14,7
2019,1493,4,0,44376,1,1,113,5,18.0,21
2015,1498,4,1,39508,2,1,118,5,17.0,21
2014,1197,4,1,60318,1,4,78,5,21.63,7
2016,1498,4,0,72602,2,1,118,5,19.08,19
2019,1197,4,1,33000,1,4,118,5,18.27,21
2019,1498,4,1,33000,1,1,118,5,17.1,21
2018,1498,4,1,72000,1,1,98,5,21.63,21
2018,1498,4,1,66000,1,1,98,5,21.63,19
2014,1396,4,1,80000,2,1,90,5,21.63,7
2017,1373,3,1,80000,2,4,91,5,20.73,19
2014,1498,4,1,75000,1,4,102,5,17.0,21
2019,1498,4,0,33000,1,4,118,5,17.0,19
2017,1197,4,1,48000,1,4,78,5,21.63,7
2015,1197,3,1,35000,1,4,78,5,21.1,7
2016,1498,4,0,80000,1,1,118,5,17.0,21
2017,1498,4,0,80000,2,1,118,5,17.6,21
2018,1498,4,0,72916,1,1,118,5,19.6,19
2019,1353,4,0,49000,1,4,118,5,17.0,21
2015,1248,4,1,80000,1,1,78,5,21.63,19
2014,1199,4,1,71000,1,1,78,5,21.63,7
2019,1197,4,1,44516,1,4,113,5,19.2,21
2018,1197,3,1,78000,1,1,78,5,21.63,7
2018,1197,4,1,46450,1,4,81,5,18.6,7
2015,1396,4,1,75000,1,1,88,5,21.63,7
2015,1197,4,1,35000,1,4,78,5,21.1,7
2015,1396,3,1,80000,1,1,88,5,21.63,7
2015,1197,4,1,80000,1,4,83,5,21.4,7
2018,1197,3,1,34000,1,4,81,5,21.21,19
2014,1248,4,1,70000,2,1,78,5,21.63,7
2017,1498,3,1,80000,1,1,98,5,21.63,19
2015,1198,4,0,56000,1,4,86,5,17.0,7
2017,1248,4,1,67000,1,1,91,5,20.5,7
2019,1498,4,1,80000,1,1,118,5,17.0,16
2018,1498,4,1,80000,1,1,118,5,21.63,19
2019,1197,4,1,33554,1,4,108,5,17.0,21
2014,1198,4,1,80000,1,4,86,5,18.0,19
2019,1498,4,1,33000,1,4,118,5,17.0,19
2018,1197,4,1,58374,1,4,81,5,18.9,7
2017,1498,3,1,79329,2,1,118,5,17.32,21
2019,1498,4,1,51738,1,1,97,5,21.63,21
2014,1498,4,0,80000,1,1,118,5,17.0,21
2014,1498,3,0,60091,1,1,118,5,17.0,21
2019,1462,4,1,65000,1,4,103,5,17.03,21
2014,1498,4,1,80000,1,1,118,5,21.63,19
2018,1497,4,1,78000,1,1,118,5,17.3,16
2017,1198,4,1,80000,2,4,82,5,18.15,7
2014,1498,4,0,80000,1,1,118,5,17.0,19
2017,1498,4,0,79331,2,1,118,5,17.0,21
2014,1498,3,1,80000,1,1,100,5,17.0,16
2018,1395,4,0,54737,1,4,118,5,19.2,19
2014,1197,4,1,56000,2,4,88,5,17.57,19
2019,1197,4,0,33000,1,4,81,5,20.1,19
2018,1368,3,0,34576,1,4,118,5,17.0,21
2017,1396,4,1,68000,1,1,88,5,21.63,7
2014,1197,4,1,74000,3,1,78,5,21.63,7
2014,1461,4,1,80000,1,1,84,5,21.63,19
2014,1461,4,1,80000,1,1,84,5,21.63,19
2016,1493,1,1,40220,1,1,100,5,18.49,21
2014,1461,4,1,80000,1,1,84,5,21.63,19
2019,1199,4,1,33000,1,4,86,5,19.33,7
2014,1498,4,0,65262,1,1,118,5,17.0,19
2018,1248,4,1,80000,1,1,78,5,21.63,7
2014,1498,3,1,80000,1,1,118,5,17.0,21
2019,1248,4,0,65580,1,1,88,5,21.63,21
2019,1462,3,1,49848,1,4,103,5,17.03,21
2014,1461,4,1,80000,4,1,83,5,19.87,21
2014,1498,4,0,80000,2,4,118,5,17.0,19
2016,1396,3,1,80000,3,1,78,5,21.63,19
2015,1496,3,1,80000,3,4,88,5,17.0,19
2019,1498,3,1,80000,1,1,118,5,17.0,16
2014,1461,3,1,80000,1,1,83,5,20.45,21
2019,1197,3,0,40000,1,4,78,5,21.63,7
2019,1197,3,1,70000,1,4,88,5,21.63,19
2014,1248,3,1,80000,2,1,78,5,21.1,7
2014,1197,3,1,80000,2,4,78,5,18.2,7
2019,1199,3,1,33000,1,4,118,5,17.33,21
2014,1197,3,1,80000,1,3,78,5,19.0,7
2014,1197,3,1,80000,1,4,88,5,17.57,19
2015,1197,3,1,80000,1,4,88,5,17.57,19
2014,1197,3,1,80000,2,4,78,5,17.3,7
2016,1197,3,1,50000,1,3,78,5,21.1,7
2014,1498,3,1,80000,1,1,118,5,21.63,19
2015,1498,3,1,80000,1,1,98,5,21.63,19
2015,1197,3,1,80000,2,4,78,5,21.63,7
2019,1197,3,1,33000,1,4,78,5,21.46,7
2014,1248,3,1,80000,1,1,78,5,19.3,19
2014,1197,3,1,40000,1,4,78,5,19.7,7
2019,1197,3,1,33000,1,4,78,5,20.0,16
2014,1197,3,1,70000,4,4,78,5,17.0,7
2014,1197,3,1,80000,1,4,78,5,19.7,7
2014,1198,3,1,80000,3,4,86,5,19.4,7
2018,1497,3,1,40000,1,4,117,5,17.4,19
2015,1198,3,1,80000,1,4,78,5,20.63,7
2016,1197,3,1,70000,1,4,78,5,21.63,7
2019,1498,3,1,33000,2,1,78,5,17.0,17
2014,1197,3,1,80000,2,4,78,5,19.7,7
2014,1197,3,1,80000,2,4,78,5,20.36,7
2014,1498,3,1,80000,2,1,118,5,17.0,16
2015,1197,3,1,40000,1,4,82,5,19.1,19
2019,1198,3,1,33000,1,4,108,5,17.0,21
2017,1197,3,1,33000,1,4,81,5,18.9,7
2014,1197,3,1,55675,2,4,82,5,18.9,7
2015,1197,3,1,80000,2,4,82,5,18.9,7
2017,1373,3,1,33000,1,4,91,5,20.73,19
2016,1197,3,1,80000,1,4,82,5,18.9,7
2016,1197,3,1,80000,1,4,81,5,18.6,7
2014,1197,3,1,75730,2,4,78,5,21.1,7
2019,1197,3,1,33000,1,4,78,5,21.63,7
2016,1248,3,1,80000,1,1,88,5,21.63,21
2017,1197,0,1,33000,1,4,78,5,21.63,7
2019,1197,4,0,33000,2,4,78,5,20.3,7
2019,1199,3,1,33000,2,4,86,5,20.09,21
2017,1498,3,0,33000,1,1,118,5,19.27,19
2015,1197,3,0,70000,2,4,82,5,17.0,19
2014,1248,3,1,70000,2,1,88,5,21.02,19
2015,1197,3,1,33000,1,4,82,5,18.9,7
2019,1451,3,0,60000,1,4,118,5,17.0,21
2016,1197,3,1,50000,4,1,78,5,21.63,7
2015,1498,3,1,60000,1,4,118,5,17.01,19
2014,1197,3,1,33000,3,4,78,5,21.1,7
2015,1198,4,1,50650,2,4,86,5,19.4,7
2014,1197,4,0,33000,2,4,78,5,21.63,7
2018,1497,4,1,33000,1,4,117,5,17.8,19
2019,1199,4,1,33000,1,0,78,5,21.63,19
2016,1197,4,1,57221,1,4,81,5,20.4,7
2016,1199,4,1,33000,1,0,78,5,21.63,7
2016,1198,4,1,65916,2,4,86,5,18.0,19
2019,1197,3,1,33000,1,4,78,5,21.63,7
2019,1248,4,0,80000,1,1,88,5,21.63,21
2016,1197,3,1,80000,1,4,82,5,18.9,7
2017,1498,3,1,70000,2,1,118,5,17.0,21
2019,1451,3,0,33000,2,4,118,5,17.0,21
2019,1199,3,1,33000,1,4,118,5,17.33,21
2019,1197,3,0,33000,1,4,118,5,18.15,21
2017,1197,3,1,33000,1,4,82,5,18.9,7
2019,1498,3,1,33000,1,1,118,5,17.0,16
2019,1451,3,0,33000,2,4,118,5,17.0,21
2019,1498,3,0,33000,1,1,118,5,17.0,19
2019,1197,3,1,33000,2,4,88,5,21.63,19
2017,1197,3,1,77577,1,4,83,5,21.4,7
2014,1197,4,1,42709,1,4,78,5,21.63,7
2018,1199,0,1,66677,1,4,88,5,19.5,19
2016,1197,3,1,39699,1,4,82,5,18.9,7
2014,1197,3,1,80000,1,4,80,5,18.5,7
2019,1496,4,1,33000,2,4,105,5,17.1,19
2015,1198,3,1,80000,2,4,86,5,18.0,19
2018,1498,3,0,33000,2,4,118,5,17.0,19
2017,1197,3,1,74006,1,4,83,5,21.4,7
2019,1498,3,0,33000,1,4,118,5,18.3,19
2017,1498,3,0,60000,1,1,118,5,21.63,19
2016,1498,3,0,33000,1,1,118,5,20.68,21
2016,1498,3,0,80000,1,1,118,5,17.0,21
2016,1498,3,0,40000,1,1,118,5,17.0,21
2016,1498,3,0,33000,1,1,118,5,20.68,21
2019,1198,3,1,60000,2,4,82,5,18.15,7
2014,1197,3,1,33000,2,4,78,5,21.63,7
2016,1197,3,1,39492,1,4,78,5,21.63,7
2014,1197,4,1,42866,2,4,82,5,18.9,7
2015,1197,4,1,80000,1,4,78,5,21.63,7
2019,1197,3,1,33000,1,4,88,5,21.63,7
2017,1197,3,1,80000,1,4,83,5,21.4,7
2017,1199,4,1,65148,1,4,88,5,17.5,21
2014,1197,4,1,80000,1,4,78,5,21.63,7
2014,1197,4,1,33000,1,4,78,5,20.51,7
2017,1197,3,1,73769,1,1,78,5,21.63,7
2017,1498,4,1,66075,1,1,98,5,21.63,7
2014,1197,3,1,70000,1,4,78,5,21.63,7
2014,1197,3,1,60000,1,4,78,5,18.9,7
2019,1498,3,1,50000,2,4,118,5,17.0,21
2014,1197,3,1,33000,1,4,78,5,19.7,7
2014,1197,3,1,80000,4,4,78,5,18.9,7
2014,1197,3,1,33000,1,4,78,5,20.36,7
2014,1498,3,1,80000,1,1,78,5,17.0,22
2014,1396,3,1,40000,3,4,105,5,17.43,19
2014,1197,4,1,59978,2,4,118,5,18.88,21
2019,1197,3,1,33000,1,4,78,5,21.63,7
2014,1198,3,1,73980,1,4,86,5,18.0,19
2014,1497,4,1,63950,1,4,117,5,17.4,19
2014,1498,4,1,47208,1,4,110,5,17.0,21
2017,1497,4,0,51007,2,4,117,5,18.0,19
2019,1197,3,1,33000,1,4,78,5,21.63,7
2019,1498,3,1,80000,2,1,118,5,17.0,21
2014,1197,3,1,49342,2,4,78,5,19.81,7
2014,1197,3,1,46559,1,4,78,5,19.0,7
2014,1498,3,1,80000,1,1,98,5,21.63,19
2019,1461,4,1,68132,1,1,108,5,20.37,21
2019,1368,3,0,33000,1,4,118,5,17.0,21
2019,1197,3,1,33000,2,4,81,5,18.6,7
2019,1353,3,1,33000,2,4,118,5,17.0,21
2014,1498,3,0,60000,1,1,118,5,18.1,19
2019,1498,3,1,33000,1,1,118,5,17.0,16
2019,1199,3,0,33000,1,4,88,5,18.3,19
2015,1197,3,1,33000,1,4,82,5,18.9,7
2019,1368,3,0,33000,1,4,118,5,17.0,21
2014,1197,4,1,50772,1,4,88,5,21.63,7
2019,1197,3,1,53084,1,1,78,5,21.63,7
2019,1497,3,1,80000,1,1,108,5,21.5,21
2019,1197,0,0,61113,1,4,83,5,21.4,7
2019,1497,4,1,36936,1,4,117,5,17.4,19
2016,1497,4,1,51336,2,4,117,5,17.8,19
2016,1498,3,1,71128,1,4,118,5,17.0,21
2016,1198,4,1,33000,1,4,86,5,18.0,19
2015,1498,4,1,80000,1,4,118,5,17.0,21
2019,1197,3,1,39725,1,4,83,5,21.4,7
2014,1197,4,1,69273,1,4,88,5,21.63,19
2014,1199,3,1,33000,2,4,79,5,18.6,7
2019,1197,3,1,40000,1,4,81,5,17.52,21
2019,1197,3,0,33000,1,4,78,5,21.63,7
2015,1373,3,1,33000,1,4,93,5,17.0,16
2019,1199,3,1,33000,1,4,84,5,20.09,7
2017,1197,3,1,33000,1,4,78,5,21.1,7
2014,1461,3,1,60000,1,1,78,5,19.2,19
2017,1197,3,1,60000,1,4,83,5,21.4,7
2019,1197,3,1,44310,1,4,83,5,21.4,7
2014,1197,3,1,59870,1,4,82,5,18.5,7
2018,1198,4,0,33000,1,4,78,5,19.15,7
2014,1197,4,1,39541,1,4,88,5,21.63,19
2015,1198,4,1,64685,2,4,86,5,18.0,19
2016,1498,4,1,56394,1,4,110,5,17.0,21
2019,1497,3,1,33000,1,4,113,5,17.0,21
2014,1197,4,1,41582,1,4,88,5,21.63,19
2019,1498,4,1,33000,1,4,118,5,18.6,19
2019,1197,4,1,33000,1,4,78,5,18.75,21
2019,1197,0,1,33000,1,4,78,5,21.63,7
2015,1197,4,1,55541,1,4,81,5,18.6,7
2014,1197,3,1,33000,2,4,78,5,19.81,7
2017,1497,3,1,33000,1,4,118,5,17.0,21
2019,1498,3,1,80000,1,1,118,5,17.0,21
2019,1497,3,1,33000,1,4,113,5,17.0,21
2014,1197,3,1,40000,2,4,78,5,20.36,7
2017,1248,3,1,80000,2,1,78,5,21.63,19
2018,1498,3,1,50000,1,1,118,5,17.1,21
2014,1461,3,1,80000,1,1,108,5,19.01,21
2017,1199,4,1,47739,2,4,88,5,18.7,7
2019,1462,4,1,33000,1,4,103,5,17.03,21
2014,1197,3,1,39232,3,4,78,5,19.0,7
2019,1197,4,1,33000,1,4,78,5,20.3,7
2014,1197,3,1,33000,2,4,78,5,19.81,7
2019,1197,3,1,50316,1,4,83,5,21.4,7
2015,1197,3,1,33000,2,4,82,5,18.9,7
2019,1197,3,1,44560,1,4,81,5,20.7,7
2015,1197,3,1,43308,1,1,78,5,21.63,19
2014,1197,3,0,66256,1,4,78,5,21.63,7
2017,1396,3,1,44744,3,1,88,5,21.19,7
2016,1396,4,1,53275,1,4,105,5,17.43,19
2017,1248,3,1,80000,2,1,78,5,21.63,19
2015,1498,3,1,80000,1,1,100,5,17.0,16
2019,1462,3,1,33000,1,4,103,5,21.56,19
2016,1197,3,1,80000,1,4,81,5,17.19,7
2014,1498,3,1,33000,1,1,103,5,20.34,19
2017,1197,3,1,40000,2,4,78,5,21.63,7
2019,1498,3,0,33000,2,1,118,5,21.63,19
2018,1368,3,1,40000,3,4,98,5,19.1,19
2019,1197,4,1,33000,2,4,78,5,20.3,7
2016,1197,4,1,51790,1,4,78,5,19.81,7
2019,1197,3,1,33000,1,4,78,5,21.63,7
2014,1197,4,1,60585,1,4,78,5,20.36,7
