registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type
2019,1197,3,1,33000,1,4,81,5,20.52,7
2019,1197,3,0,60000,1,4,108,5,17.0,21
2019,1353,3,0,33000,1,4,118,5,17.0,21
2015,1197,3,1,40000,1,4,78,5,20.51,7
2019,1451,3,0,40000,2,4,118,5,17.0,21
2019,1198,3,1,70000,1,4,108,5,17.0,21
2014,1198,3,1,60000,1,4,86,5,19.4,7
2014,1461,3,1,80000,2,1,78,5,21.63,19
2019,1496,3,1,40000,1,4,105,5,17.1,19
2014,1497,3,1,80000,2,4,118,5,17.0,19
2019,1197,3,1,33000,1,4,78,5,20.0,16
2014,1197,3,1,80000,2,4,78,5,18.9,7
2019,1197,3,1,33000,1,0,78,5,20.88,14
2019,1197,3,1,33000,1,0,78,5,20.88,14
2014,1461,3,1,80000,2,1,108,5,19.01,21
2017,1396,3,1,80000,1,1,88,5,21.63,7
2018,1197,3,1,80000,1,0,78,5,21.63,7
2014,1197,3,1,50000,1,4,78,5,20.36,7
2017,1248,3,1,70000,1,1,78,5,21.63,7
2019,1493,3,1,33000,1,1,78,5,17.0,21
2017,1498,3,1,80000,3,1,118,5,19.67,21
2014,1399,3,1,80000,3,1,78,5,17.8,19
2014,1498,3,1,80000,1,1,118,5,17.0,21
2018,1197,3,0,33000,1,4,78,5,21.63,7
2014,1197,3,1,40000,1,4,78,5,20.36,7
2015,1197,3,1,80000,2,4,81,5,18.6,7
2016,1197,3,1,33000,2,4,81,5,21.21,7
2019,1368,3,0,33000,1,4,118,5,17.0,21
2019,1197,3,1,40000,1,4,81,5,21.21,19
2019,1197,3,1,33000,1,4,81,5,21.01,7
2018,1197,3,1,80000,2,4,78,5,17.0,14
2016,1498,3,1,80000,1,1,98,5,21.63,19
2014,1199,3,1,80000,1,4,79,5,18.6,7
2016,1498,3,1,80000,1,1,98,5,21.63,19
2016,1248,3,1,80000,2,1,78,5,21.63,19
2017,1197,3,1,70000,2,4,83,5,20.85,19
2016,1197,3,1,33000,2,4,81,5,21.21,7
2017,1198,3,1,70000,1,1,78,5,21.63,21
2019,1197,3,1,33000,1,4,78,5,18.75,21
2018,1498,3,0,70000,2,1,118,5,17.6,21
2019,1462,3,1,60000,2,4,103,5,20.65,19
2015,1396,3,1,80000,3,1,88,5,21.19,7
2014,1197,3,1,80000,1,1,78,5,21.63,7
2019,1498,3,1,40000,1,4,108,5,17.0,21
2019,1197,3,1,40000,1,4,81,5,18.6,7
2015,1197,3,1,80000,4,4,81,5,18.6,7
2015,1197,3,1,80000,4,4,81,5,18.6,7
2015,1396,3,1,80000,3,1,88,5,21.19,7
2014,1248,3,1,80000,3,1,88,5,20.77,16
2014,1498,3,0,80000,2,1,118,5,17.0,21
2019,1199,3,1,33000,1,4,86,5,20.09,21
2014,1197,3,1,80000,3,4,80,5,18.5,7
2014,1498,3,0,80000,2,4,118,5,17.0,21
2014,1197,3,1,70000,4,0,78,5,21.63,7
2014,1197,3,1,80000,2,4,80,5,18.5,7
2014,1199,3,1,80000,3,1,78,5,20.86,7
2019,1498,3,1,50000,2,1,118,5,17.0,21
2014,1197,3,1,60000,1,4,78,5,18.9,7
2019,1197,3,1,40000,2,4,81,5,18.6,7
2014,1197,3,1,60000,1,4,78,5,19.0,7
2017,1197,3,1,33000,1,0,78,5,21.63,7
2018,1498,3,1,80000,1,1,118,5,21.63,19
2014,1497,3,1,80000,1,4,118,5,17.0,19
2014,1498,3,1,80000,1,1,89,5,21.63,21
2014,1197,3,1,80000,2,4,78,5,21.1,7
2019,1197,3,1,33000,1,4,81,5,21.01,7
2019,1462,3,0,50000,1,4,103,5,18.76,21
2014,1498,3,0,80000,2,1,118,5,17.0,19
2014,1197,3,1,80000,1,4,85,5,17.0,7
2014,1461,3,1,80000,1,1,108,5,19.01,21
